Sample,Date_Collected,Sample_or_Control,Substrate,SampleType,Site,Site_SampleType,Include_in_Levi_analysis,Latitude,Longitude,River_Bottom,Biofilm,Habitat,Depth,Features
GN_PN1,2020-11-28T10:58:00.898-08:00,Sample,Water,PN,Glendale_Narrows,Glendale_Narrows_PN,Yes,34.10289,-118.242423,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
GN_PN2,2020-11-28T11:00:43.660-08:00,Sample,Water,PN,Glendale_Narrows,Glendale_Narrows_PN,Yes,34.102721,-118.242309,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Pit or ravine
K0567_A1,2020-11-28T11:00:43.660-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103068,-118.242299,"all soft bottom, no concrete present","Yes, thin layer present",Fully submerged,Submerged 3-30cm,Enclosed water Open water
K0567_B2,2020-11-28T11:13:01-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103109,-118.242676,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0567_C3,2020-11-28T11:13:01-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.102793,-118.242688,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present",Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0567_E4,2020-11-28T11:18:16.509-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.10252,-118.242718,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present",Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0567_G5,2020-11-28T11:18:16.509-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,No,34.102586,-118.242766,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Pit or ravine
K0567_K6,2020-11-28T11:19:54-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.102941,-118.242796,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Pit or ravine
K0786_K6,2020-11-28T11:19:54-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103639,-118.242653,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Open water
K0786_L7,2020-11-28T11:25:18.826-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103651,-118.242517,"all soft bottom, no concrete present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Submerged 3-30cm,Enclosed water Open water
K0786_M8,2020-11-28T11:29:22.096-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,No,34.103167,-118.242417,"all soft bottom, no concrete present",No layer present,Fully submerged,Submerged 3-30cm,Enclosed water Open water
K0786_T9,2020-11-28T12:29:15.380-08:00,Sample,Sediment,Sediment,Glendale_Narrows,Glendale_Narrows_Sediment,Yes,34.103621,-118.242685,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Open water
LB_DB1,2020-11-28T12:33:11.193-08:00,Sample,Water,DB,Long_Beach,Long_Beach_DB,Yes,33.762713,-118.202147,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Rocky shore
LB_DB2,2020-11-28T12:33:32.585-08:00,Sample,Water,DB,Long_Beach,Long_Beach_DB,Yes,33.762951,-118.202335,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Estuary (partially enclosed)
LB_PN1,2020-11-28T12:40:08.315-08:00,Sample,Water,PN,Long_Beach,Long_Beach_PN,Yes,33.762689,-118.202161,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Open water
LB_PN2,2020-11-28T12:40:30.053-08:00,Sample,Water,PN,Long_Beach,Long_Beach_PN,Yes,33.763023,-118.202269,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Estuary (partially enclosed)
K0541_B2,2020-11-28T12:42:58.844-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762552,-118.201911,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Basin/wash Pit or ravine
K0541_T9,2020-11-28T12:46:02.683-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762548,-118.202405,soft bottom with some concrete present,No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Estuary (partially enclosed)
K0543_C3,2020-11-28T12:51:30.829-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762592,-118.202006,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Rocky shore
K0543_E4,2020-11-28T12:51:54.221-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762863,-118.202303,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Open water
K0543_L7,2020-11-28T12:54:39.431-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762553,-118.201927,soft bottom with some concrete present,No layer present,Fully submerged,Submerged 3-30cm,Slope/slant Rocky shore
K0543_M8,2020-11-28T13:00:57.079-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762992,-118.202364,soft bottom with some concrete present,No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Estuary (partially enclosed)
K0544_E4,2020-11-28T13:01:53.895-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762822,-118.202326,soft bottom with some concrete present,No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Estuary (partially enclosed)
K0544_L7,2020-11-30T08:25:10.491-08:00,Sample,Sediment,Sediment,Long_Beach,Long_Beach_Sediment,Yes,33.762918,-118.202333,soft bottom with some concrete present,No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Estuary (partially enclosed)
MW_DB1,2020-11-30T08:28:40.886-08:00,Sample,Water,DB,Maywood,Maywood_DB,Yes,33.987053,-118.17181,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Slope/slant Flat land/terrace
MW_DB2,2020-11-30T08:33:09.040-08:00,Sample,Water,DB,Maywood,Maywood_DB,Yes,33.987897,-118.172726,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Open water
MW_PN1,2020-11-30T08:41:42.334-08:00,Sample,Water,PN,Maywood,Maywood_PN,Yes,33.986624,-118.171631,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash Pit or ravine
MW_PN2,2020-11-30T08:42:32.779-08:00,Sample,Water,PN,Maywood,Maywood_PN,Yes,33.987744,-118.17239,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Elevated ridge
K0541_K6,2020-11-30T08:44:10.240-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.988143,-118.17292,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Open water
K0565_A1,2020-11-30T08:50:38.034-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.986682,-118.171523,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0565_B2,2020-11-30T08:50:55.410-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.986632,-118.171502,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0565_C3,2020-11-30T08:50:55.410-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.986902,-118.17174,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present",Fully submerged,Submerged 3-30cm,Flat land/terrace
K0565_G5,2020-11-30T08:52:08.184-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.98722,-118.171941,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0565_K6,2020-11-30T08:58:59.304-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,No,33.986512,-118.171495,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0565_L7,2020-11-30T09:06:50.975-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.986984,-118.171797,"all hard bottom, entirely channelized, concrete fully present","Yes, thin layer present",Fully submerged,Submerged 3-30cm,Basin/wash
K0565_M8,2020-11-30T09:12:23.204-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.98745,-118.172202,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Elevated ridge
K0565_T9,2020-11-30T10:28:24.416-08:00,Sample,Sediment,Sediment,Maywood,Maywood_Sediment,Yes,33.987934,-118.172658,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Elevated ridge
SD_DB1,2020-11-30T10:29:00-08:00,Sample,Water,DB,Sepulveda_Dam,Sepulveda_Dam_DB,Yes,34.168887,-118.474683,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Slope/slant Pit or ravine
SD_PN1,2020-11-30T10:29:00-08:00,Sample,Water,PN,Sepulveda_Dam,Sepulveda_Dam_PN,Yes,34.169031,-118.475268,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Rock mound Pit or ravine
K0781_A1,2020-11-30T10:29:46.371-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168797,-118.474686,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0781_B2,2020-11-30T10:33:00-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168633,-118.474952,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0781_C3,2020-11-30T10:33:27.072-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,No,34.16865,-118.474815,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0781_E4,2020-11-30T10:38:12.136-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168591,-118.47488,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0781_G5,2020-11-30T10:38:53.567-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168828,-118.475142,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0781_K6,2020-11-30T10:44:25.426-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.16884,-118.475129,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Slope/slant Basin/wash
K0781_L7,2020-11-30T10:45:00-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168791,-118.474651,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0781_M8,2020-11-30T10:48:59.684-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.168636,-118.474965,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0781_T9,2020-11-30T10:51:26.395-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,No,34.170488,-118.476828,soft bottom with some concrete present,No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0785_K6,2020-11-30T10:54:02.510-08:00,Sample,Sediment,Sediment,Sepulveda_Dam,Sepulveda_Dam_Sediment,Yes,34.169035,-118.475267,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Slope/slant Basin/wash
TW_DB1,2020-11-30T10:59:15.363-08:00,Sample,Water,DB,Tujunga_Wash,Tujunga_Wash_DB,Yes,34.257904,-118.386826,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Submerged 3-30cm,Basin/wash
TW_DB2,2020-11-30T11:04:51.055-08:00,Sample,Water,DB,Tujunga_Wash,Tujunga_Wash_DB,Yes,34.258594,-118.386517,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Submerged 3-30cm,Open water
TW_PN1,2020-11-30T11:57:39.382-08:00,Sample,Water,PN,Tujunga_Wash,Tujunga_Wash_PN,Yes,34.257761,-118.38692,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Submerged 3-30cm,Basin/wash
TW_PN2,2020-11-30T11:59:45.835-08:00,Sample,Water,PN,Tujunga_Wash,Tujunga_Wash_PN,Yes,34.257742,-118.386849,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Submerged 3-30cm,Basin/wash
K0784_B2,2020-11-30T12:03:28.850-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.257854,-118.386855,"all hard bottom, entirely channelized, concrete fully present",No layer present,Fully submerged,Top layer (top 3cm) soil or sediment,Basin/wash
K0784_C3,2020-11-30T12:05:56.211-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.258096,-118.386677,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0785_A1,2020-11-30T12:06:00-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes_removeD,34.258268,-118.386718,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0785_B2,2020-11-30T12:08:11.996-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes_removeD,34.258182,-118.386699,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0785_C3,2020-11-30T12:10:26.708-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes_removeD,34.257593,-118.386789,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Rarely submerged or wetland or arroyo,Top layer (top 3cm) soil or sediment,Basin/wash
K0785_E4,2020-11-30T12:12:17.723-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes_removeD,34.258366,-118.38646,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0785_G5,2020-11-30T12:14:00-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.257531,-118.38691,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0785_L7,2020-11-30T12:15:56.085-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,Yes,34.257891,-118.38687,"all hard bottom, entirely channelized, concrete fully present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0785_T9,2020-11-30T12:22:49.199-08:00,Sample,Sediment,Sediment,Tujunga_Wash,Tujunga_Wash_Sediment,No,34.253257,-118.389107,"all hard bottom, entirely channelized, concrete fully present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
VW_DB1,2020-11-30T12:23:12.841-08:00,Sample,Water,DB,Verdugo_Wash,Verdugo_Wash_DB,Yes,34.203224,-118.237945,"all soft bottom, no concrete present",No layer present,Frequently submerged or intertidal or marsh,Submerged 3-30cm,Open water
VW_DB2,2020-11-30T12:26:14.876-08:00,Sample,Water,DB,Verdugo_Wash,Verdugo_Wash_DB,Yes,34.203631,-118.238206,"all soft bottom, no concrete present","Yes, thin layer present",Fully submerged,Submerged 3-30cm,Open water
VW_PN1,2020-11-30T12:34:41.338-08:00,Sample,Water,PN,Verdugo_Wash,Verdugo_Wash_PN,Yes,34.203346,-118.2381,"all soft bottom, no concrete present","Yes, thick layer present",Fully submerged,Submerged 3-30cm,Basin/wash
VW_PN2,2020-11-30T13:53:00-08:00,Sample,Water,PN,Verdugo_Wash,Verdugo_Wash_PN,Yes,34.20317,-118.237895,"all soft bottom, no concrete present",No layer present,Frequently submerged or intertidal or marsh,Submerged 3-30cm,Open water
K0562_A1,2020-11-30T13:53:36.361-08:00,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.203562,-118.238222,"all soft bottom, no concrete present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0562_B2,2020-11-30T13:56:00.835-08:00,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.203793,-118.238466,"all soft bottom, no concrete present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0562_E4,2020-11-30T14:04:44.406-08:00,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,No,34.203153,-118.23794,"all soft bottom, no concrete present",No layer present,Rarely submerged or wetland or arroyo,Top layer (top 3cm) soil or sediment,Estuary (partially enclosed) Open water
K0562_G5,2020-11-30T14:07:00-08:00,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.203081,-118.238568,soft bottom with some concrete present,"Yes, thin layer present",Fully submerged,Top layer (top 3cm) soil or sediment,Basin/wash Pit or ravine
K0789_A1,2020-11-30T14:09:17.646-08:00,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.205446,-118.239317,soft bottom with some concrete present,"Yes, thin layer present",Rarely submerged or wetland or arroyo,Top layer (top 3cm) soil or sediment,Basin/wash Pit or ravine
K0789_G5,2020-11-30T14:19:19.078-08:00,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.203569,-118.238291,"all soft bottom, no concrete present","Yes, thin layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0789_K6,2020-11-30T14:20:00-08:00,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.203422,-118.237939,"all soft bottom, no concrete present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Estuary (partially enclosed) Open water
K0789_L7,2020-11-30T14:24:08.591-08:00,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.203725,-118.238294,"all soft bottom, no concrete present","Yes, thick layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0789_M8,2020-11-30T14:26:36.086-08:00,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,No,34.203204,-118.238074,"all soft bottom, no concrete present",No layer present,Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Open water
K0789_T9,2020-11-30T14:27:00-08:00,Sample,Sediment,Sediment,Verdugo_Wash,Verdugo_Wash_Sediment,Yes,34.203686,-118.238352,"all soft bottom, no concrete present","Yes, thin layer present",Frequently submerged or intertidal or marsh,Top layer (top 3cm) soil or sediment,Basin/wash
K0567_A1D,2020-11-30T14:33:56.562-08:00,Sample,Sediment,Sediment,Leave_Out,Leave_Out,N,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out
K0567_B2D,Control,Sample,Sediment,Sediment,Leave_Out,Leave_Out,N,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out
K0567_C3D,Control,Sample,Sediment,Sediment,Leave_Out,Leave_Out,N,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out
K0567_E4D,Control,Sample,Sediment,Sediment,Leave_Out,Leave_Out,N,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out
K0567_G5D,Control,Sample,Sediment,Sediment,Leave_Out,Leave_Out,N,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out
K0567_K6D,Control,Sample,Sediment,Sediment,Leave_Out,Leave_Out,N,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out
K0781_K6D,Control,Sample,Sediment,Sediment,Leave_Out,Leave_Out,N,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out
K0784_B2D,Control,Sample,Sediment,Sediment,Leave_Out,Leave_Out,N,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out
K0785_M8D,Control,Sample,Sediment,Sediment,Leave_Out,Leave_Out,N,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out
K0786_L7D,Control,Sample,Sediment,Sediment,Leave_Out,Leave_Out,N,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out
K0786_M8D,Control,Sample,Sediment,Sediment,Leave_Out,Leave_Out,N,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out
K0786_T9D,Control,Sample,Sediment,Sediment,Leave_Out,Leave_Out,N,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out
K0786_K6D,Control,Sample,unknown,unknown,Leave_Out,Leave_Out,No_addDandchangefromK0796_K6,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out,Leave_Out